model_id_or_name,missing_benchmark
Qwen/Qwen3-1.7B-Base,LiveCodeBench
ali-elganzory/Baguettotron-longsft_16k,LiveCodeBench
ali-elganzory/Baguettotron-longsft_16k-SFT-Tulu3-decontaminated,LiveCodeBench
ali-elganzory/Baguettotron-longsft_16k-DPO-Tulu3-decontaminated,LiveCodeBench
open-sci/sft__ot30k_1.7b-MixtureVitae-300BT-v1-decontaminated-16k-SFT-Tulu3-decontaminated,LiveCodeBench
open-sci/sft__ot30k_open-sci-ref-v0.02-1.7b-fineweb-edu-1.4t-300B-4096-longsft_16k-SFT-Tulu3,LiveCodeBench
open-sci/sft__ot30k_open-sci-ref-v0.02-1.7b-fineweb-edu-1.4t-300B-4096-longsft_16k-SFT-Tulu3,JEEBench
open-sci/sft__ot30k_1.7b-Comma0.1-300BT-longsft_16k-SFT-Tulu3-decontaminated,LiveCodeBench
open-sci/sft__ot30k_1.7b-Comma0.1-300BT-longsft_16k-SFT-Tulu3-decontaminated,JEEBench
open-sci/sft__ot30k_SmolLM2-1.7B-16k-SFT-Tulu3-decontaminated,LiveCodeBench
open-sci/sft__ot30k_Qwen2.5-1.5B-SFT-Tulu3-decontaminated,LiveCodeBench
open-sci/sft__ot30k_Qwen2.5-1.5B-SFT-Tulu3-decontaminated,JEEBench
open-sci/sft__ot30k_Qwen3-1.7B-Base-SFT-Tulu3-decontaminated,LiveCodeBench
